company_number,company_status,company_type,incorporation_date,dissolution_date,age_days,sic_primary,sic_sector,region,has_insolvency_history,has_charges,has_been_liquidated,office_in_dispute,undeliverable_address,officer_count,resigned_count,officer_turnover_rate,filing_count,accounts_count,confirmation_count,charge_count,outstanding_charges,charge_satisfaction_rate,psc_count,corporate_psc_count,dissolved
NI606040,dissolved,ltd,2011-02-04,2014-09-19,1323,85100,Public/Education/Health,Co. Down,0,0,0,0,0,1,0,0.0,7,2,2,0,0,0.0,0,0,1
NI605749,dissolved,ltd,2011-01-13,2015-05-15,1583,,Unknown,Belfast,0,0,0,0,0,4,3,0.75,18,0,0,0,0,0.0,0,0,1
NI606086,dissolved,ltd,2011-02-08,2017-01-31,2184,43290,Construction/Transport,Craigavon,0,0,0,0,0,3,1,0.333,17,4,3,0,0,0.0,0,0,1
NI606125,dissolved,ltd,2011-02-11,2016-04-12,1887,49410,Construction/Transport,Co. Down,0,0,0,0,0,1,0,0.0,12,3,4,0,0,0.0,0,0,1
NI605698,dissolved,ltd,2011-01-10,2017-11-28,2514,66120,Finance/Insurance,County Down,0,0,0,0,0,2,1,0.5,20,8,6,0,0,0.0,1,0,1
NI606343,dissolved,ltd,2011-02-25,2015-04-03,1498,74100,Real Estate/Business,Antrim,0,0,0,0,0,1,0,0.0,9,2,3,0,0,0.0,0,0,1
NI606488,dissolved,ltd,2011-03-08,2015-05-01,1515,32990,Manufacturing,Belfast,0,0,0,0,0,2,0,0.0,9,2,3,0,0,0.0,0,0,1
NI606337,dissolved,ltd,2011-02-25,2014-10-17,1330,81100,Public/Education/Health,County Antrim,0,0,0,0,0,1,0,0.0,8,2,2,0,0,0.0,0,0,1
NI606564,dissolved,ltd,2011-03-11,2019-03-26,2937,46719,Construction/Transport,Belfast,0,0,0,0,0,2,1,0.5,26,6,7,0,0,0.0,1,0,1
NI605793,dissolved,ltd,2011-01-18,2018-04-24,2653,86900,Public/Education/Health,Co. Antrim,0,0,0,0,0,3,2,0.667,20,6,6,0,0,0.0,1,0,1
NI606241,dissolved,ltd,2011-02-21,2016-05-17,1912,85520,Public/Education/Health,Belfast,0,0,0,0,0,5,2,0.4,20,4,5,0,0,0.0,0,0,1
NI605788,dissolved,ltd,2011-01-18,2017-06-06,2331,39000,Manufacturing,Co. Armagh,0,0,0,0,0,2,1,0.5,24,2,5,0,0,0.0,0,0,1
NI606162,dissolved,ltd,2011-02-14,2015-04-10,1516,41202,Construction/Transport,Co. Armagh,0,0,0,0,0,2,1,0.5,13,3,3,0,0,0.0,0,0,1
NI606350,dissolved,ltd,2011-02-28,2015-07-10,1593,70229,Real Estate/Business,Belfast,0,0,0,0,0,2,1,0.5,15,4,4,0,0,0.0,0,0,1
NI606463,dissolved,ltd,2011-03-04,2016-05-17,1901,96090,Other Services,Belfast,0,0,0,0,0,1,0,0.0,11,3,4,0,0,0.0,0,0,1
NI606534,dissolved,ltd,2011-03-09,2020-09-22,3485,47910,Construction/Transport,Londonderry,0,0,0,0,0,1,0,0.0,29,8,8,0,0,0.0,1,0,1
NI605902,dissolved,ltd,2011-01-25,2019-01-08,2905,86900,Public/Education/Health,Belfast,0,1,0,0,0,10,6,0.6,53,8,7,5,0,1.0,1,1,1
NI606586,dissolved,ltd,2011-03-11,2018-08-07,2706,60200,Finance/Insurance,Antrim,0,0,0,0,0,5,0,0.0,20,7,7,0,0,0.0,0,0,1
NI605713,dissolved,ltd,2011-01-11,2019-06-15,3077,56302,Retail/Trade,Co. Antrim,1,0,0,0,0,1,0,0.0,14,2,3,0,0,0.0,0,0,1
NI606209,dissolved,ltd,2011-02-17,2020-10-27,3540,47290,Construction/Transport,Co Antrim,0,0,0,0,0,3,0,0.0,29,9,9,0,0,0.0,2,0,1
NI605818,dissolved,private-limited-guarant-nsc,2011-01-19,2020-09-22,3534,96090,Other Services,Down,0,0,0,0,0,2,1,0.5,22,8,7,0,0,0.0,1,0,1
NI606172,dissolved,ltd,2011-02-15,2018-10-23,2807,99999,Other Services,Co Derry,0,0,0,0,0,3,1,0.333,24,7,6,0,0,0.0,2,0,1
NI606189,dissolved,ltd,2011-02-15,2015-09-04,1662,47910,Construction/Transport,Dungannon,0,0,0,0,0,1,1,1.0,11,0,1,0,0,0.0,0,0,1
NI606229,dissolved,private-limited-guarant-nsc-limited-exemption,2011-02-18,2017-11-07,2454,90030,Other Services,Ballymena,0,0,0,0,0,4,0,0.0,19,6,5,0,0,0.0,0,0,1
NI605722,dissolved,ltd,2011-01-12,2018-09-18,2806,62090,Finance/Insurance,Antrim,0,0,0,0,0,1,0,0.0,17,6,7,0,0,0.0,1,0,1
NI605678,dissolved,ltd,2011-01-07,2020-10-20,3574,41100,Construction/Transport,Enniskillen,0,0,0,0,0,2,0,0.0,21,8,8,0,0,0.0,1,0,1
NI606455,dissolved,ltd,2011-03-04,2019-09-10,3112,69202,Finance/Insurance,Northern Ireland,0,0,0,0,0,4,1,0.25,21,6,7,0,0,0.0,3,0,1
NI606569,dissolved,ltd,2011-03-11,2022-12-13,4295,45190,Construction/Transport,Down,0,0,0,0,0,3,0,0.0,25,10,11,0,0,0.0,2,0,1
